Country,Deaths_per_1Mpop,Date,Month_Key,Insolation_Average,Cloud_Fraction,CENTR_latitude,CENTR_longitude,LogDeaths_per_1Mpop,Month_Fct2020
Portugal,14,2020-03-31,2020-03,277.29197849371496,0.8057875469490722,39.399872,-8.224454,1.146128035678238,Mar
Romania,3,2020-03-31,2020-03,315.3644136539516,0.15922941975220134,45.943161,24.96676,0.47712125471966244,Mar
Serbia,2,2020-03-31,2020-03,337.82779132618623,0.06645955897607457,44.016521,21.005859,0.3010299956639812,Mar
Slovakia,NA,2020-03-31,2020-03,342.4440221371858,0.06058695634988987,48.669026,19.699024,NA,Mar
Slovenia,5,2020-03-31,2020-03,349.64820470565405,0.09637179522393033,46.151241,14.995463,0.6989700043360189,Mar
Spain,165,2020-03-31,2020-03,309.7210346997922,0.7026583279058132,40.463667,-3.74922,2.2174839442139063,Mar
Sweden,14,2020-03-31,2020-03,328.4865489186107,0.3693594408162928,60.128161,18.643501,1.146128035678238,Mar
Switzerland,41,2020-03-31,2020-03,353.2985437181261,0.3569097232280506,46.818188,8.227512,1.6127838567197355,Mar
UK,21,2020-03-31,2020-03,341.2199185056384,0.5301606330351952,55.378051,-3.435973,1.3222192947339193,Mar
Ukraine,0.3,2020-03-31,2020-03,252.21038264698453,0.4499370658110517,48.379433,31.16558,-0.5228787452803376,Mar
Albania,10,2020-04-30,2020-04,347.9009377161662,0.22131249875140688,41.153332,20.168331,1,Apr
Austria,64,2020-04-30,2020-04,363.9303025679155,0.24603939354701926,47.516231,14.550072,1.806179973983887,Apr
Belarus,9,2020-04-30,2020-04,295.6018956558667,0.447351441728963,53.709807,27.953389,0.9542425094393249,Apr
Belgium,647,2020-04-30,2020-04,343.0239038467407,0.4261640610639006,50.503887,4.469936,2.8109042806687006,Apr
Bosnia_and_H,20,2020-04-30,2020-04,348.64658910577947,0.20614204559983176,43.915886,17.679076,1.3010299956639813,Apr
Bulgaria,9,2020-04-30,2020-04,358.97816772460936,0.12821666685243446,42.733883,25.48583,0.9542425094393249,Apr
Croatia,16,2020-04-30,2020-04,348.6381600323845,0.22243627481272116,45.1,15.2,1.2041199826559248,Apr
Czechia,21,2020-04-30,2020-04,373.84403336136427,0.19611111082205618,49.817492,15.472962,1.3222192947339193,Apr
Denmark,76,2020-04-30,2020-04,358.7737718548691,0.3338114034972693,56.26392,9.501785,1.8808135922807914,Apr
Estonia,38,2020-04-30,2020-04,327.8965095641121,0.32167857113693443,58.595272,25.013607,1.5797835966168101,Apr
Finland,37,2020-04-30,2020-04,334.26147933501244,0.2725927394202536,61.92411,25.748151,1.568201724066995,Apr
